"Markets","Qty","Entry Price","Exit Price","Trade Type","Closed P&L","Open Fee","Close Fee","Funding Fee","Exit Type","Order time"
"BTCUSD","0.012 BTC","110,357.4","112,208.6","Sell","+20.93","0.5032","0.5116","0.2684","Trade","2025-09-05 15:12:36"
"BTCUSD","0.013 BTC","110,357.4","112,210.5","Sell","+22.84","0.5451","0.5543","0.1443","Trade","2025-09-05 08:10:56"
"BTCUSD","0.001 BTC","110,357.4","111,482.2","Sell","+1.02","0.0419","0.0423","0.0111","Trade","2025-09-05 06:19:21"
"BTCUSD","0.016 BTC","110,357.4","111,483.9","Sell","+16.49","0.6709","0.6778","0.1776","Trade","2025-09-05 06:19:21"
"BTCUSD","0.005 BTC","110,357.4","111,484.0","Sell","+5.15","0.2096","0.2118","0.0555","Trade","2025-09-05 06:19:21"
"BTCUSD","0.003 BTC","110,357.4","111,485.7","Sell","+3.09","0.1258","0.1270","0.0333","Trade","2025-09-05 06:19:21"
"HYPEUSD","40.00 HYPE","45.95","45.75","Sell","-9.49","0.6984","0.6954","0.0917","Trade","2025-09-04 14:14:02"
"BTCUSD","0.075 BTC","109,288.1","109,071.9","Buy","+10.45","3.1147","3.1085","-0.4645","Trade","2025-09-01 19:15:19"
"WLFIUSD","254 WLFI","0.3003","0.2800","Sell","-5.22","0.0289","0.0270","0.0000","Trade","2025-09-01 14:51:27"
"WLFIUSD","146 WLFI","0.3003","0.2800","Sell","-3.00","0.0166","0.0155","0.0000","Trade","2025-09-01 14:51:27"
"BTCUSD","0.015 BTC","109,506.3","108,763.8","Buy","+9.89","0.6241","0.6199","0.0000","Trade","2025-09-01 11:31:07"
"BTCUSD","0.180 BTC","111,496.5","111,108.5","Sell","-84.69","6.7787","7.5998","0.4678","Trade","2025-08-29 06:53:01"
"BTCUSD","0.040 BTC","111,496.5","111,108.5","Sell","-18.82","1.5063","1.6888","0.1039","Trade","2025-08-29 06:53:01"
"BTCUSD","0.010 BTC","111,821.1","111,995.6","Sell","+0.85","0.4249","0.4255","0.0429","Trade","2025-08-25 20:15:58"
"BTCUSD","0.016 BTC","111,821.1","112,558.5","Sell","+10.36","0.6798","0.6843","0.0687","Trade","2025-08-25 17:30:12"
"SOLUSD","6.6 SOL","197.29","196.76","Sell","-4.56","0.4948","0.4934","0.0651","Trade","2025-08-25 15:45:03"
"SOLUSD","3.0 SOL","197.29","198.78","Sell","+3.98","0.2249","0.2266","0.0296","Trade","2025-08-25 15:25:30"